uid,memQ_0,memA_0,memQ_1,memA_1,memQ_2,memA_2,memQ_3,memA_3,memQ_4,memA_4,Fink_Q_1,Fink_Q_2,Fink_Q_3,Fink_Q_4,Fink_Q_5,Attention_Q_1,Device_Q,Calstera_Q_1,Calstera_Q_2,Calstera_Q_3,Calstera_Q_4,Attention_Q_2,Calstera_Q_5,Calstera_Q_6,Calstera_Q_7,Calstera_Q_8,Calstera_Q_9,Calstera_Q_10,Calstera_Q_11,Calstera_Q_12,Calstera_Q_13,Calstera_Q_14,Calstera_Q_15,Calstera_Q_16,Calstera_Q_17,q_comments
32866,2457361,2746714,6134275,614275,1726534,1726534,1736245,1723245,3754621,3754621,7,7,7,4,6,7,Desktop,5,5,5,5,1,6,6,6,6,5,4,6,5,6,6,5,5,2,no
92490,6523147,653214567,4125367,4152367,4762135,4762351,1246753,12456753,2647315,2467135,5,4,6,6,3,7,Smartphone,3,5,5,6,1,3,6,2,2,4,6,4,4,2,6,4,2,5,I sometimes find it hard to remember a number sequence and may look at it a few times to get it correct
38511,4253671,4253671,2576341,2576341,3517642,3571642,6572314,6572314,2163457,4163257,1,1,1,1,3,7,Smartphone,1,4,1,4,1,3,7,1,1,1,5,7,2,1,7,5,1,1,No
53896,2567314,3741793,7265341,7265341,4736512,4772512,3465172,3465712,1764352,4764352,6,7,7,5,2,7,Smartphone,6,2,6,3,1,5,6,7,7,6,1,2,7,5,2,3,6,6,No thank you
71263,,,2153674,2153674,4361275,4361275,5426173,5426173,5146723,5146723,6,6,6,7,5,7,Smartphone,4,4,3,6,1,6,6,7,5,6,2,5,6,7,6,4,3,3,No
91591,,,2541763,25471,,,4257316,4257316,5134276,5134276,5,3,5,5,4,7,Smartphone,5,5,4,4,1,4,6,3,6,5,4,4,6,6,5,6,5,2,No
26969,1523647,1523647,1524673,152567,4715623,471562,5627314,5627314,7612534,7652134,7,7,7,5,3,7,Smartphone,1,1,4,7,1,5,3,7,7,7,1,6,6,7,1,6,4,4,No thanks
22166,2345176,2345176,2564731,247631,6341572,6357412,2541376,234716,1674325,1467325,6,6,4,5,3,7,Smartphone,7,6,5,5,3,6,2,5,4,5,4,5,4,3,6,5,4,6,No
68456,2375614,3214,3471625,348165,4712356,4813456,2547163,5747163,1352467,135467,6,5,6,7,4,7,Smartphone,6,4,5,6,1,4,5,7,6,7,2,2,7,5,2,4,5,3,No
63259,7421563,7421563,5417632,5417632,7451236,7451236,3254167,3254167,6527341,652731,5,3,5,6,3,7,Smartphone,5,2,4,6,1,5,6,6,2,5,3,7,6,5,6,5,3,2,No
56911,4132576,4132576,3154627,315267,2156734,2156734,3246571,3246571,4576123,457612,5,3,2,5,3,7,Smartphone,6,6,5,7,1,6,4,5,3,6,4,3,5,4,5,6,6,3,No
78578,6527341,653427,7632154,7632154,3562417,3562417,3547162,3574162,1723465,1723465,7,7,6,3,6,7,Laptop,6,2,2,7,1,6,6,6,2,6,2,6,5,6,2,2,4,2,no
32147,4275316,4275136,1675234,1675234,1735462,1735461,5173462,5175361,2631475,2631415,6,2,3,7,5,7,Smartphone,2,5,6,3,1,2,1,7,2,5,3,5,5,7,5,3,1,1,N/A
51234,2371456,2371456,2165473,216745,1357462,1357462,3245617,3245617,3751426,3751426,6,5,5,5,1,7,Smartphone,6,4,3,6,1,5,4,2,1,1,5,5,4,6,4,5,6,2,No
51346,,,4625731,4625731,6321574,6543217,6547231,6527651,2657143,2567321,4,2,1,4,2,7,Smartphone,2,3,4,3,1,2,4,3,3,3,2,4,5,6,3,5,5,5,No
72308,5341672,5436,2537146,2357,6752314,675421,4135672,4536712,1562374,1562374,6,5,6,3,3,7,Smartphone,5,5,5,4,1,4,3,5,5,4,5,4,4,5,3,4,5,3,Nothing
