uid,memQ_0,memA_0,similarity_score_0,memQ_1,memA_1,similarity_score_1,memQ_2,memA_2,similarity_score_2,memQ_3,memA_3,similarity_score_3,memQ_4,memA_4,similarity_score_4,Fink_Q_1,Fink_Q_2,Fink_Q_3,Fink_Q_4,Fink_Q_5,Attention_Q_1,Device_Q,Calstera_Q_1,Calstera_Q_2,Calstera_Q_3,Calstera_Q_4,Attention_Q_2,Calstera_Q_5,Calstera_Q_6,Calstera_Q_7,Calstera_Q_8,Calstera_Q_9,Calstera_Q_10,Calstera_Q_11,Calstera_Q_12,Calstera_Q_13,Calstera_Q_14,Calstera_Q_15,Calstera_Q_16,Calstera_Q_17,q_comments
32866,2457361,2746714,0.5714285714285714,6134275,614275,0.9230769230769231,1726534,1726534,1.0,1736245,1723245,0.8571428571428571,3754621,3754621,1.0,7,7,7,4,6,7,Desktop,5,5,5,5,1,6,6,6,6,5,4,6,5,6,6,5,5,2,no
92490,6523147,653214567,0.75,4125367,4152367,0.8571428571428571,4762135,4762351,0.8571428571428571,1246753,12456753,0.9333333333333333,2647315,2467135,0.7142857142857143,5,4,6,6,3,7,Smartphone,3,5,5,6,1,3,6,2,2,4,6,4,4,2,6,4,2,5,I sometimes find it hard to remember a number sequence and may look at it a few times to get it correct
38511,4253671,4253671,1.0,2576341,2576341,1.0,3517642,3571642,0.8571428571428571,6572314,6572314,1.0,2163457,4163257,0.7142857142857143,1,1,1,1,3,7,Smartphone,1,4,1,4,1,3,7,1,1,1,5,7,2,1,7,5,1,1,No
53896,2567314,3741793,0.2857142857142857,7265341,7265341,1.0,4736512,4772512,0.7142857142857143,3465172,3465712,0.8571428571428571,1764352,4764352,0.8571428571428571,6,7,7,5,2,7,Smartphone,6,2,6,3,1,5,6,7,7,6,1,2,7,5,2,3,6,6,No thank you
71263,,,,2153674,2153674,1.0,4361275,4361275,1.0,5426173,5426173,1.0,5146723,5146723,1.0,6,6,6,7,5,7,Smartphone,4,4,3,6,1,6,6,7,5,6,2,5,6,7,6,4,3,3,No
91591,,,,2541763,25471,0.6666666666666666,,,,4257316,4257316,1.0,5134276,5134276,1.0,5,3,5,5,4,7,Smartphone,5,5,4,4,1,4,6,3,6,5,4,4,6,6,5,6,5,2,No
26969,1523647,1523647,1.0,1524673,152567,0.7692307692307693,4715623,471562,0.9230769230769231,5627314,5627314,1.0,7612534,7652134,0.7142857142857143,7,7,7,5,3,7,Smartphone,1,1,4,7,1,5,3,7,7,7,1,6,6,7,1,6,4,4,No thanks
22166,2345176,2345176,1.0,2564731,247631,0.7692307692307693,6341572,6357412,0.7142857142857143,2541376,234716,0.6153846153846154,1674325,1467325,0.8571428571428571,6,6,4,5,3,7,Smartphone,7,6,5,5,3,6,2,5,4,5,4,5,4,3,6,5,4,6,No
68456,2375614,3214,0.5454545454545454,3471625,348165,0.7692307692307693,4712356,4813456,0.7142857142857143,2547163,5747163,0.8571428571428571,1352467,135467,0.9230769230769231,6,5,6,7,4,7,Smartphone,6,4,5,6,1,4,5,7,6,7,2,2,7,5,2,4,5,3,No
63259,7421563,7421563,1.0,5417632,5417632,1.0,7451236,7451236,1.0,3254167,3254167,1.0,6527341,652731,0.9230769230769231,5,3,5,6,3,7,Smartphone,5,2,4,6,1,5,6,6,2,5,3,7,6,5,6,5,3,2,No
